=== RUN   TestHandler
2024/08/08 13:32:47 Processing S3 object from bucket nextjsblog619f9308251149be95e1a59d89c85e5e233823-dev with key private/us-east-1:d0793677-36a8-4f9d-96aa-af199ce7dd0f/uploads/RCC_Tahuya.fit
2024-08-03 14:07:33 +0000 UTC
Edge840
Activity
time: 2024-08-03 14:07:33 +0000 UTC, lat: 47.61835, long: -122.35958, power: 171, cadence: 87, distance: 842
time: 2024-08-03 14:07:34 +0000 UTC, lat: 47.61829, long: -122.35950, power: 144, cadence: 91, distance: 1683
time: 2024-08-03 14:07:35 +0000 UTC, lat: 47.61823, long: -122.35944, power: 146, cadence: 89, distance: 2590
time: 2024-08-03 14:07:36 +0000 UTC, lat: 47.61816, long: -122.35938, power: 145, cadence: 82, distance: 3434
time: 2024-08-03 14:07:37 +0000 UTC, lat: 47.61810, long: -122.35931, power: 206, cadence: 81, distance: 4276
time: 2024-08-03 14:07:38 +0000 UTC, lat: 47.61806, long: -122.35923, power: 156, cadence: 81, distance: 5065
time: 2024-08-03 14:07:39 +0000 UTC, lat: 47.61801, long: -122.35915, power: 231, cadence: 78, distance: 5848
time: 2024-08-03 14:07:40 +0000 UTC, lat: 47.61795, long: -122.35909, power: 221, cadence: 80, distance: 6607
time: 2024-08-03 14:07:41 +0000 UTC, lat: 47.61790, long: -122.35901, power: 226, cadence: 80, distance: 7441
time: 2024-08-03 14:07:42 +0000 UTC, lat: 47.61784, long: -122.35895, power: 197, cadence: 88, distance: 8254
time: 2024-08-03 14:07:43 +0000 UTC, lat: 47.61778, long: -122.35889, power: 185, cadence: 92, distance: 9018
time: 2024-08-03 14:07:44 +0000 UTC, lat: 47.61773, long: -122.35881, power: 192, cadence: 86, distance: 9896
time: 2024-08-03 14:07:45 +0000 UTC, lat: 47.61767, long: -122.35874, power: 170, cadence: 86, distance: 10687
time: 2024-08-03 14:07:46 +0000 UTC, lat: 47.61761, long: -122.35867, power: 170, cadence: 79, distance: 11516
time: 2024-08-03 14:07:47 +0000 UTC, lat: 47.61755, long: -122.35859, power: 219, cadence: 79, distance: 12354
time: 2024-08-03 14:07:48 +0000 UTC, lat: 47.61750, long: -122.35851, power: 219, cadence: 79, distance: 13260
time: 2024-08-03 14:07:49 +0000 UTC, lat: 47.61743, long: -122.35844, power: 207, cadence: 80, distance: 14143
time: 2024-08-03 14:07:50 +0000 UTC, lat: 47.61737, long: -122.35836, power: 206, cadence: 82, distance: 15091
time: 2024-08-03 14:07:51 +0000 UTC, lat: 47.61730, long: -122.35828, power: 175, cadence: 83, distance: 16064
time: 2024-08-03 14:07:52 +0000 UTC, lat: 47.61724, long: -122.35820, power: 194, cadence: 83, distance: 16977
time: 2024-08-03 14:07:53 +0000 UTC, lat: 47.61718, long: -122.35812, power: 181, cadence: 84, distance: 17918
